Order ID,Customer ID,Customer Name,Order Time,Number of Sandwiches,Total Cost (DKK)
106,C018,Customer 18,2024-11-25 10:57:00,1,78.85
107,C018,Customer 18,2024-05-09 12:14:00,5,394.25
108,C019,Customer 19,2024-02-03 13:18:00,3,236.54999999999998
109,C020,Customer 20,2024-07-18 10:58:00,3,236.54999999999998
110,C020,Customer 20,2024-02-11 14:29:00,2,169.1
111,C021,Customer 21,2024-03-24 09:27:00,3,242.25
112,C021,Customer 21,2024-07-01 08:32:00,2,169.1
113,C022,Customer 22,2024-01-13 11:12:00,1,78.85
114,C022,Customer 22,2024-10-29 11:47:00,1,78.85
115,C023,Customer 23,2024-08-10 08:42:00,4,309.7
116,C023,Customer 23,2024-08-16 12:03:00,5,377.15
117,C023,Customer 23,2024-11-09 18:47:00,3,245.1
118,C023,Customer 23,2024-04-13 12:57:00,3,247.95
119,C023,Customer 23,2024-09-08 15:05:00,1,87.39999999999999
120,C023,Customer 23,2024-06-11 15:09:00,5,414.2
121,C024,Customer 24,2024-09-02 14:10:00,1,87.39999999999999
122,C024,Customer 24,2024-05-26 18:53:00,1,81.7
123,C024,Customer 24,2024-05-26 11:47:00,4,253.64999999999998
124,C024,Customer 24,2024-08-06 19:09:00,1,87.39999999999999
125,C025,Customer 25,2024-10-18 14:33:00,1,81.7
126,C025,Customer 25,2024-08-29 08:46:00,5,338.2
127,C025,Customer 25,2024-06-09 12:21:00,5,321.09999999999997
128,C025,Customer 25,2024-06-22 12:59:00,5,309.7
129,C026,Customer 26,2024-07-28 10:15:00,4,236.54999999999998
130,C026,Customer 26,2024-01-25 13:22:00,2,169.1
131,C027,Customer 27,2024-03-09 12:14:00,3,163.4
132,C027,Customer 27,2024-10-19 11:25:00,4,236.54999999999998
133,C028,Customer 28,2024-06-04 12:42:00,3,242.25
134,C028,Customer 28,2024-11-27 13:05:00,2,157.7
135,C028,Customer 28,2024-08-03 17:18:00,2,174.79999999999998
136,C028,Customer 28,2024-02-17 18:38:00,1,81.7
137,C028,Customer 28,2024-12-18 11:11:00,4,253.64999999999998
138,C028,Customer 28,2024-10-20 18:39:00,1,76.0
139,C028,Customer 28,2024-12-07 18:32:00,3,250.79999999999998
140,C028,Customer 28,2024-08-12 09:13:00,5,321.09999999999997
141,C028,Customer 28,2024-09-29 14:26:00,2,169.1
142,C028,Customer 28,2024-03-24 11:34:00,3,242.25
143,C029,Customer 29,2024-05-19 14:56:00,4,349.59999999999997
144,C029,Customer 29,2024-10-23 13:59:00,3,236.54999999999998
145,C029,Customer 29,2024-10-25 08:26:00,2,157.7
146,C029,Customer 29,2024-05-16 11:47:00,1,78.85
147,C029,Customer 29,2024-05-08 13:50:00,2,163.4
148,C029,Customer 29,2024-08-25 11:38:00,1,78.85
149,C029,Customer 29,2024-03-13 13:00:00,1,78.85
150,C030,Customer 30,2024-08-31 14:05:00,1,81.7
151,C031,Customer 31,2024-12-07 13:00:00,4,321.09999999999997
152,C032,Customer 32,2024-06-12 11:53:00,2,169.1
153,C032,Customer 32,2024-07-18 11:28:00,4,247.95
154,C033,Customer 33,2024-06-30 19:32:00,1,76.0
155,C033,Customer 33,2024-09-22 13:00:00,5,332.5
156,C034,Customer 34,2024-03-16 10:53:00,3,169.1
157,C034,Customer 34,2024-11-23 13:33:00,2,84.55
158,C034,Customer 34,2024-01-13 10:25:00,4,242.25
159,C034,Customer 34,2024-07-22 18:55:00,4,245.1
160,C034,Customer 34,2024-01-26 14:22:00,4,250.79999999999998
161,C034,Customer 34,2024-04-29 11:05:00,2,73.14999999999999
162,C035,Customer 35,2024-09-22 13:18:00,2,84.55
163,C035,Customer 35,2024-10-14 11:22:00,4,242.25
164,C035,Customer 35,2024-02-16 19:51:00,3,169.1
165,C036,Customer 36,2024-02-19 13:13:00,3,247.95
166,C036,Customer 36,2024-08-20 15:57:00,2,157.7
167,C036,Customer 36,2024-12-04 14:41:00,1,87.39999999999999
168,C036,Customer 36,2024-09-22 14:04:00,4,332.5
169,C036,Customer 36,2024-11-11 17:29:00,2,169.1
170,C036,Customer 36,2024-11-06 17:10:00,4,326.8
171,C036,Customer 36,2024-07-18 11:07:00,5,388.54999999999995
172,C037,Customer 37,2024-03-14 13:24:00,5,338.2
173,C037,Customer 37,2024-08-22 13:32:00,1,78.85
174,C038,Customer 38,2024-10-01 11:08:00,5,399.95
175,C038,Customer 38,2024-01-17 09:09:00,5,394.25
176,C039,Customer 39,2024-04-18 13:59:00,2,157.7
177,C040,Customer 40,2024-06-24 13:45:00,3,242.25
178,C040,Customer 40,2024-02-12 11:52:00,4,321.09999999999997
179,C040,Customer 40,2024-02-29 11:54:00,5,399.95
180,C040,Customer 40,2024-10-11 11:44:00,2,163.4
181,C040,Customer 40,2024-02-08 11:27:00,4,326.8
182,C040,Customer 40,2024-08-15 11:05:00,3,236.54999999999998
183,C040,Customer 40,2024-10-13 17:14:00,5,391.4
184,C040,Customer 40,2024-04-10 12:05:00,1,84.55
185,C040,Customer 40,2024-05-14 18:28:00,1,76.0
186,C040,Customer 40,2024-07-25 16:38:00,5,425.59999999999997
187,C041,Customer 41,2024-06-18 14:30:00,1,87.39999999999999
188,C042,Customer 42,2024-08-24 11:28:00,5,338.2
189,C042,Customer 42,2024-05-13 13:51:00,1,0.0
190,C042,Customer 42,2024-12-02 15:40:00,3,169.1
191,C043,Customer 43,2024-01-22 11:53:00,1,78.85
192,C043,Customer 43,2024-08-22 11:37:00,1,73.14999999999999
193,C043,Customer 43,2024-11-08 12:18:00,2,157.7
194,C043,Customer 43,2024-06-24 12:22:00,4,253.64999999999998
195,C043,Customer 43,2024-11-02 12:38:00,3,152.0
196,C043,Customer 43,2024-03-23 12:47:00,2,163.4
197,C043,Customer 43,2024-12-01 11:43:00,2,163.4
198,C043,Customer 43,2024-09-15 11:35:00,1,73.14999999999999
199,C043,Customer 43,2024-05-05 19:13:00,1,76.0
200,C044,Customer 44,2024-11-19 13:39:00,2,157.7
201,C044,Customer 44,2024-06-29 11:35:00,2,169.1
202,C044,Customer 44,2024-02-09 14:09:00,1,87.39999999999999
203,C044,Customer 44,2024-02-06 14:12:00,1,81.7
204,C044,Customer 44,2024-07-21 11:48:00,5,411.34999999999997
205,C044,Customer 44,2024-08-05 10:03:00,4,315.4
206,C044,Customer 44,2024-06-27 08:30:00,3,242.25
207,C044,Customer 44,2024-06-17 13:49:00,4,326.8
208,C045,Customer 45,2024-05-13 13:10:00,1,84.55
209,C045,Customer 45,2024-06-06 12:27:00,5,332.5
210,C045,Customer 45,2024-01-08 19:42:00,2,87.39999999999999
211,C045,Customer 45,2024-01-20 11:41:00,1,73.14999999999999
212,C045,Customer 45,2024-10-28 08:32:00,2,84.55
213,C045,Customer 45,2024-09-26 17:31:00,4,256.5
214,C045,Customer 45,2024-03-15 08:19:00,3,146.29999999999998
215,C045,Customer 45,2024-01-28 11:02:00,2,84.55
216,C045,Customer 45,2024-09-26 12:19:00,4,247.95
217,C045,Customer 45,2024-10-09 11:14:00,4,253.64999999999998
218,C046,Customer 46,2024-07-26 14:06:00,5,338.2
219,C046,Customer 46,2024-05-12 12:45:00,4,247.95
220,C047,Customer 47,2024-11-23 10:54:00,2,157.7
221,C047,Customer 47,2024-03-30 18:12:00,2,169.1
222,C048,Customer 48,2024-02-12 14:06:00,5,343.9
223,C048,Customer 48,2024-04-24 13:47:00,4,236.54999999999998
224,C048,Customer 48,2024-06-17 12:06:00,3,157.7
225,C048,Customer 48,2024-05-16 15:21:00,1,0.0
226,C048,Customer 48,2024-07-09 09:16:00,5,326.8
227,C048,Customer 48,2024-10-15 13:12:00,2,78.85
228,C048,Customer 48,2024-08-11 17:56:00,1,0.0
229,C048,Customer 48,2024-08-27 14:54:00,3,163.4
230,C048,Customer 48,2024-07-20 09:13:00,2,84.55
231,C048,Customer 48,2024-10-15 14:31:00,3,169.1
232,C049,Customer 49,2024-07-17 12:53:00,3,242.25
233,C049,Customer 49,2024-10-22 08:09:00,2,169.1
234,C050,Customer 50,2024-11-06 13:18:00,1,84.55
235,C050,Customer 50,2024-11-16 13:47:00,2,163.4
236,C050,Customer 50,2024-05-29 11:07:00,1,73.14999999999999
237,C051,Customer 51,2024-08-23 11:03:00,2,172.0
238,C051,Customer 51,2024-05-21 11:00:00,4,255.0
239,C052,Customer 52,2024-04-27 12:21:00,3,178.0
240,C052,Customer 52,2024-03-17 14:14:00,5,344.0
241,C053,Customer 53,2024-08-20 12:30:00,4,344.0
242,C053,Customer 53,2024-08-18 13:14:00,3,249.0
243,C053,Customer 53,2024-01-07 19:43:00,2,178.0
244,C053,Customer 53,2024-05-07 10:33:00,4,338.0
245,C053,Customer 53,2024-03-18 13:29:00,1,77.0
246,C053,Customer 53,2024-12-12 11:22:00,4,332.0
247,C053,Customer 53,2024-12-09 12:05:00,5,403.0
248,C053,Customer 53,2024-06-17 13:43:00,3,243.0
249,C053,Customer 53,2024-01-17 14:58:00,5,448.0
250,C054,Customer 54,2024-07-23 11:29:00,2,172.0
251,C054,Customer 54,2024-07-12 12:56:00,5,338.0
252,C055,Customer 55,2024-10-10 19:49:00,4,338.0
253,C055,Customer 55,2024-12-07 13:32:00,5,344.0
254,C055,Customer 55,2024-04-09 12:55:00,1,89.0
255,C055,Customer 55,2024-02-20 13:28:00,5,350.0
256,C056,Customer 56,2024-04-30 12:42:00,1,83.0
257,C056,Customer 56,2024-07-26 14:37:00,3,270.0
258,C056,Customer 56,2024-04-27 14:01:00,2,172.0
259,C057,Customer 57,2024-01-01 17:04:00,4,326.0
260,C057,Customer 57,2024-05-11 12:36:00,3,249.0
261,C057,Customer 57,2024-10-12 12:18:00,2,166.0
262,C057,Customer 57,2024-10-13 19:04:00,3,270.0
263,C057,Customer 57,2024-08-14 13:07:00,1,89.0
264,C057,Customer 57,2024-04-21 14:09:00,4,350.0
265,C057,Customer 57,2024-07-12 11:40:00,3,267.0
266,C058,Customer 58,2024-02-29 08:29:00,4,344.0
267,C059,Customer 59,2024-07-13 11:46:00,4,332.0
268,C059,Customer 59,2024-08-26 12:57:00,5,427.0
269,C059,Customer 59,2024-03-05 17:12:00,1,92.0
270,C059,Customer 59,2024-01-20 14:56:00,5,418.0
271,C059,Customer 59,2024-02-15 08:10:00,1,83.0
272,C059,Customer 59,2024-09-03 12:12:00,4,332.0
273,C059,Customer 59,2024-01-24 14:37:00,2,184.0
274,C060,Customer 60,2024-07-05 16:48:00,3,178.0
275,C060,Customer 60,2024-01-07 19:24:00,1,0.0
276,C060,Customer 60,2024-11-21 14:34:00,3,172.0
277,C060,Customer 60,2024-02-02 12:43:00,5,332.0
278,C060,Customer 60,2024-11-10 15:52:00,1,0.0
279,C060,Customer 60,2024-09-16 19:57:00,2,92.0
280,C060,Customer 60,2024-11-08 16:16:00,2,86.0
281,C060,Customer 60,2024-02-22 15:20:00,4,270.0
282,C060,Customer 60,2024-01-07 16:48:00,4,252.0
283,C060,Customer 60,2024-08-21 11:19:00,4,267.0
284,C061,Customer 61,2024-01-21 11:05:00,1,83.0
285,C061,Customer 61,2024-11-09 11:38:00,4,320.0
286,C062,Customer 62,2024-01-26 16:04:00,1,86.0
287,C063,Customer 63,2024-12-02 10:02:00,4,338.0
288,C063,Customer 63,2024-04-19 19:55:00,1,86.0
289,C064,Customer 64,2024-02-21 14:27:00,1,0.0
290,C064,Customer 64,2024-11-19 13:17:00,2,83.0
291,C064,Customer 64,2024-12-02 14:06:00,5,338.0
292,C064,Customer 64,2024-03-06 17:15:00,2,92.0
293,C064,Customer 64,2024-02-06 14:57:00,1,0.0
294,C064,Customer 64,2024-05-12 13:44:00,2,89.0
295,C064,Customer 64,2024-11-08 14:39:00,4,264.0
296,C064,Customer 64,2024-05-19 11:49:00,2,89.0
297,C065,Customer 65,2024-08-08 13:05:00,1,89.0
298,C065,Customer 65,2024-08-13 13:04:00,2,178.0
299,C065,Customer 65,2024-07-05 13:42:00,2,178.0
300,C065,Customer 65,2024-04-26 16:26:00,5,418.0
301,C065,Customer 65,2024-01-13 13:47:00,5,397.0
302,C065,Customer 65,2024-10-10 11:59:00,4,326.0
303,C065,Customer 65,2024-11-21 13:26:00,5,421.0
304,C066,Customer 66,2024-04-21 13:38:00,4,338.0
305,C067,Customer 67,2024-01-05 17:45:00,5,356.0
306,C067,Customer 67,2024-05-07 11:43:00,4,243.0
307,C068,Customer 68,2024-02-26 13:49:00,4,243.0
308,C068,Customer 68,2024-11-04 14:32:00,3,178.0
309,C069,Customer 69,2024-07-29 16:37:00,5,356.0
310,C069,Customer 69,2024-01-11 08:33:00,2,166.0
311,C069,Customer 69,2024-09-02 14:52:00,1,92.0
312,C069,Customer 69,2024-05-02 14:30:00,3,264.0
313,C069,Customer 69,2024-07-02 12:40:00,3,243.0
314,C069,Customer 69,2024-05-06 16:59:00,4,264.0
315,C069,Customer 69,2024-02-26 16:56:00,5,338.0
316,C069,Customer 69,2024-10-08 13:02:00,3,249.0
317,C070,Customer 70,2024-04-30 14:10:00,5,362.0
318,C070,Customer 70,2024-03-28 08:41:00,4,261.0
319,C070,Customer 70,2024-06-25 19:13:00,1,92.0
320,C070,Customer 70,2024-08-23 12:46:00,2,166.0
321,C070,Customer 70,2024-08-24 15:38:00,4,270.0
322,C071,Customer 71,2024-11-24 12:11:00,3,261.0
323,C071,Customer 71,2024-10-13 15:59:00,3,270.0
324,C072,Customer 72,2024-11-29 14:54:00,1,80.0
325,C072,Customer 72,2024-12-15 16:52:00,1,80.0
326,C073,Customer 73,2024-06-04 09:47:00,4,255.0
327,C073,Customer 73,2024-10-11 14:48:00,3,178.0
328,C074,Customer 74,2024-04-17 12:56:00,4,261.0
329,C074,Customer 74,2024-08-01 14:26:00,2,86.0
330,C074,Customer 74,2024-04-15 13:13:00,3,178.0
331,C075,Customer 75,2024-03-10 11:19:00,4,350.0
332,C075,Customer 75,2024-09-07 09:37:00,3,243.0
333,C075,Customer 75,2024-06-18 13:34:00,3,255.0
334,C075,Customer 75,2024-01-05 12:32:00,3,249.0
335,C075,Customer 75,2024-06-23 13:37:00,3,249.0
336,C075,Customer 75,2024-11-16 11:08:00,4,344.0
337,C075,Customer 75,2024-12-11 12:02:00,1,89.0
338,C075,Customer 75,2024-10-20 11:28:00,3,249.0
339,C076,Customer 76,2024-09-29 11:49:00,1,83.0
340,C076,Customer 76,2024-08-06 14:22:00,3,258.0
341,C077,Customer 77,2024-11-26 14:39:00,4,258.0
342,C077,Customer 77,2024-04-03 16:42:00,5,344.0
343,C078,Customer 78,2024-03-21 14:26:00,5,454.0
344,C078,Customer 78,2024-07-30 13:12:00,2,166.0
345,C078,Customer 78,2024-04-15 12:30:00,5,421.0
346,C078,Customer 78,2024-03-24 13:56:00,3,243.0
347,C078,Customer 78,2024-04-17 13:44:00,3,249.0
348,C078,Customer 78,2024-05-19 17:01:00,1,80.0
349,C078,Customer 78,2024-07-23 12:57:00,3,255.0
350,C079,Customer 79,2024-04-24 14:01:00,5,356.0
351,C079,Customer 79,2024-07-22 12:56:00,2,166.0
352,C080,Customer 80,2024-01-10 17:59:00,1,86.0
353,C081,Customer 81,2024-04-05 10:38:00,1,83.0
354,C081,Customer 81,2024-12-08 09:24:00,2,172.0
355,C081,Customer 81,2024-03-01 15:27:00,4,356.0
356,C081,Customer 81,2024-10-13 15:03:00,4,362.0
357,C081,Customer 81,2024-01-17 13:52:00,3,249.0
358,C081,Customer 81,2024-02-25 08:30:00,2,178.0
359,C081,Customer 81,2024-01-16 11:35:00,2,160.0
360,C081,Customer 81,2024-08-03 17:08:00,3,270.0
361,C081,Customer 81,2024-01-11 15:10:00,2,172.0
362,C081,Customer 81,2024-10-09 09:40:00,1,77.0
363,C082,Customer 82,2024-02-02 13:36:00,3,178.0
364,C082,Customer 82,2024-07-30 14:36:00,5,350.0
365,C083,Customer 83,2024-04-13 13:20:00,4,338.0
366,C083,Customer 83,2024-08-08 11:28:00,1,89.0
367,C083,Customer 83,2024-03-03 14:13:00,1,92.0
368,C083,Customer 83,2024-02-11 17:51:00,5,448.0
369,C083,Customer 83,2024-06-10 18:07:00,1,80.0
370,C083,Customer 83,2024-10-17 13:46:00,4,350.0
371,C083,Customer 83,2024-08-14 14:34:00,2,184.0
372,C083,Customer 83,2024-05-13 17:11:00,3,258.0
373,C083,Customer 83,2024-07-15 12:00:00,1,89.0
374,C083,Customer 83,2024-06-11 13:56:00,2,166.0
375,C084,Customer 84,2024-10-15 17:36:00,3,264.0
376,C084,Customer 84,2024-11-25 14:51:00,5,424.0
377,C084,Customer 84,2024-04-02 16:33:00,2,178.0
378,C084,Customer 84,2024-08-08 11:22:00,3,261.0
379,C085,Customer 85,2024-08-06 12:22:00,2,178.0
380,C085,Customer 85,2024-12-05 09:38:00,5,332.0
381,C085,Customer 85,2024-11-08 10:12:00,3,261.0
382,C085,Customer 85,2024-10-04 11:29:00,1,83.0
383,C085,Customer 85,2024-05-21 17:59:00,2,172.0
384,C085,Customer 85,2024-03-31 13:53:00,3,261.0
385,C085,Customer 85,2024-09-27 13:37:00,5,338.0
386,C085,Customer 85,2024-10-27 14:02:00,4,368.0
387,C086,Customer 86,2024-02-23 11:24:00,4,338.0
388,C086,Customer 86,2024-03-08 14:20:00,3,258.0
389,C086,Customer 86,2024-07-19 11:09:00,1,83.0
390,C086,Customer 86,2024-09-28 09:54:00,3,249.0
391,C087,Customer 87,2024-11-30 14:56:00,4,240.0
392,C087,Customer 87,2024-08-08 13:45:00,2,178.0
393,C088,Customer 88,2024-04-28 12:13:00,1,83.0
394,C088,Customer 88,2024-11-13 11:22:00,2,172.0
395,C088,Customer 88,2024-03-01 09:19:00,1,89.0
396,C089,Customer 89,2024-06-21 13:07:00,3,249.0
397,C089,Customer 89,2024-10-08 11:54:00,3,255.0
398,C090,Customer 90,2024-02-24 16:25:00,4,344.0
399,C090,Customer 90,2024-06-10 19:26:00,1,86.0
400,C090,Customer 90,2024-08-14 14:53:00,2,172.0
401,C090,Customer 90,2024-05-04 12:22:00,2,154.0
402,C090,Customer 90,2024-05-01 09:49:00,1,77.0
403,C091,Customer 91,2024-02-06 11:11:00,4,338.0
404,C091,Customer 91,2024-08-17 14:30:00,5,356.0
405,C091,Customer 91,2024-03-09 12:24:00,1,83.0
406,C091,Customer 91,2024-10-08 09:03:00,5,350.0
407,C091,Customer 91,2024-09-16 11:24:00,1,83.0
408,C091,Customer 91,2024-09-22 10:57:00,1,89.0
409,C091,Customer 91,2024-05-25 12:54:00,5,350.0
410,C091,Customer 91,2024-01-10 11:28:00,3,255.0
411,C092,Customer 92,2024-07-26 13:59:00,2,172.0
412,C093,Customer 93,2024-03-09 13:09:00,5,338.0
413,C093,Customer 93,2024-04-26 15:44:00,3,172.0
414,C094,Customer 94,2024-07-31 11:13:00,2,160.0
415,C095,Customer 95,2024-08-29 12:38:00,2,166.0
416,C095,Customer 95,2024-10-14 13:00:00,4,255.0
417,C096,Customer 96,2024-02-03 12:54:00,3,172.0
418,C096,Customer 96,2024-07-25 12:30:00,3,178.0
419,C096,Customer 96,2024-12-04 14:51:00,3,172.0
420,C096,Customer 96,2024-11-26 13:57:00,3,172.0
421,C096,Customer 96,2024-01-06 10:00:00,2,89.0
422,C096,Customer 96,2024-05-03 13:51:00,2,89.0
423,C096,Customer 96,2024-08-27 11:38:00,4,249.0
424,C096,Customer 96,2024-10-04 11:38:00,4,255.0
425,C096,Customer 96,2024-02-06 11:25:00,4,261.0
426,C097,Customer 97,2024-04-19 14:13:00,4,270.0
427,C097,Customer 97,2024-02-01 16:44:00,5,368.0
428,C098,Customer 98,2024-10-11 14:48:00,4,258.0
429,C098,Customer 98,2024-11-19 12:45:00,5,350.0
430,C099,Customer 99,2024-02-16 11:56:00,4,344.0
431,C099,Customer 99,2024-08-09 13:27:00,4,350.0
432,C099,Customer 99,2024-03-25 15:34:00,3,258.0
433,C099,Customer 99,2024-10-23 19:37:00,2,166.0
434,C100,Customer 100,2024-02-05 12:32:00,2,172.0
435,C100,Customer 100,2024-08-30 12:47:00,4,350.0
436,C100,Customer 100,2024-05-23 12:21:00,5,403.0
437,C100,Customer 100,2024-07-19 11:55:00,5,427.0
438,C100,Customer 100,2024-10-14 11:02:00,2,172.0
439,C100,Customer 100,2024-06-14 15:31:00,4,350.0
440,C100,Customer 100,2024-07-28 11:05:00,1,83.0
441,C101,Customer 101,2024-09-30 12:23:00,3,255.0
442,C101,Customer 101,2024-04-07 13:04:00,4,261.0
443,C101,Customer 101,2024-03-25 12:02:00,2,160.0
444,C101,Customer 101,2024-04-09 14:53:00,5,356.0
445,C101,Customer 101,2024-02-02 12:49:00,4,261.0
446,C101,Customer 101,2024-12-08 08:12:00,4,249.0
447,C101,Customer 101,2024-07-17 14:39:00,3,264.0
448,C101,Customer 101,2024-01-31 16:11:00,1,86.0
449,C102,Customer 102,2024-01-15 12:10:00,4,255.0
450,C102,Customer 102,2024-04-15 18:19:00,3,184.0
451,C102,Customer 102,2024-09-28 18:56:00,1,86.0
452,C102,Customer 102,2024-04-01 13:37:00,1,89.0
453,C102,Customer 102,2024-05-06 14:09:00,2,178.0
454,C102,Customer 102,2024-07-12 09:38:00,1,83.0
455,C102,Customer 102,2024-06-15 13:34:00,5,338.0
